database_name,dataset,task,model,result_label,result_dir,status,status_details,preprocessing_pipeline,RMSECV,RMSE_MF,RMSEP,MAE_test,r2_test,search_mean_score,seed,n_splits,best_config_json,best_model_params_json,best_fold_scores_json,trial_values_json,search_results_path,best_config_path,final_predictions_path,fold_predictions_path,rmse_mf_source,artifact_best_config_format,artifact_search_results_format,artifact_final_predictions_format
ALPINE,ALPINE_P_291_KS,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,0.059592924359660945,0.059592924359660945,0.059592924359660945,0.041523071249999995,0.6521408788342908,0.0595929243596609,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[0.059592924359660945],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/ALPINE_P_291_KS__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/ALPINE_P_291_KS__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/ALPINE_P_291_KS__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
MANURE21,All_manure_CaO_SPXY_strat_Manure_type,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,5.561677568553957,5.561677568553957,5.561677568553957,2.9399739251700683,0.7952050947013154,5.561677568553957,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[5.561677568553957],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_CaO_SPXY_strat_Manure_type__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_CaO_SPXY_strat_Manure_type__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_CaO_SPXY_strat_Manure_type__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
MANURE21,All_manure_K2O_SPXY_strat_Manure_type,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,2.6794924408313463,2.6794924408313463,2.6794924408313463,2.017442893877551,0.8091823696781881,2.6794924408313463,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[2.6794924408313463],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_K2O_SPXY_strat_Manure_type__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_K2O_SPXY_strat_Manure_type__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_K2O_SPXY_strat_Manure_type__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,0.7834426914589188,0.7834426914589188,0.7834426914589188,0.5158474748299319,0.8899342376121536,0.7834426914589188,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[0.7834426914589188],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_MgO_SPXY_strat_Manure_type__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_MgO_SPXY_strat_Manure_type__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_MgO_SPXY_strat_Manure_type__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,2.3950313126089853,2.3950313126089853,2.3950313126089853,1.5570199857142855,0.8926321639996423,2.3950313126089853,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[2.3950313126089853],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_P2O5_SPXY_strat_Manure_type__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_P2O5_SPXY_strat_Manure_type__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_P2O5_SPXY_strat_Manure_type__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,1.7949795973712188,1.7949795973712188,1.7949795973712188,1.174148869387755,0.9366605196373267,1.7949795973712188,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[1.7949795973712188],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_Total_N_SPXY_strat_Manure_type__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_Total_N_SPXY_strat_Manure_type__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/All_manure_Total_N_SPXY_strat_Manure_type__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,3.4195867941291915,3.4195867941291915,3.4195867941291915,2.9063866392941176,0.0882734440156473,3.4195867941291915,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[3.4195867941291915],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_ASD__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_ASD__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_ASD__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,4.010255503725023,4.010255503725023,4.010255503725023,2.9876869124285714,0.025787402757294187,4.010255503725023,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[4.010255503725023],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_MicroNIR__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_MicroNIR__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_MicroNIR__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,4.005316833851728,4.005316833851728,4.005316833851728,2.9453823525428575,0.02818543041849919,4.005316833851728,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[4.005316833851728],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,regression,TabPFN-Raw,TabPFN-Raw,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible,ok,,None,4.374574398786281,4.374574398786281,4.374574398786281,3.322444474297297,-0.05761162240012152,4.374574398786281,42.0,1.0,"{""pca"": ""None"", ""scatter"": ""None"", ""shape"": ""None""}","{""device"": ""cpu"", ""model_path"": ""tabpfn-v2.5-regressor-v2.5_real.ckpt"", ""n_estimators"": 16, ""source"": ""converted_from_tabpfn_raw""}",[4.374574398786281],,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_NeoSpectra__search_results.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_NeoSpectra__best_config.json,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/An_spxyG70_30_byCultivar_NeoSpectra__final_predictions.csv,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/Results/tabpfn_raw_master_compatible/all_predictions.parquet,all_predictions.parquet,legacy,legacy_csv,legacy
