database_name,dataset,variant,seed,n_train,n_test,n_features,rmsep,r2,n_components,fit_time_s,selected_operators,block_sizes,status,status_details
BEER,Beer_OriginalExtract_60_YbaseSplit,PLS-standard-numpy,0,40,20,576,0.3942938315312436,0.973899601429417,6,0.017467947967816144,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,AOM-PLS-compact-numpy,0,40,20,576,0.9473565532735878,0.8493274629900657,1,0.1540916779777035,sg_smooth_w11_p2,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,MBPLS-blocks3-vanilla,0,40,20,576,0.6750532461614244,0.9234961601476724,6,0.03454699297435582,,"192,192,192",ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,PLS-standard-numpy,0,2925,3925,196,49.058682501874756,-14.211033556718059,10,0.44041543605271727,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,AOM-PLS-compact-numpy,0,2925,3925,196,46.381550067680614,-12.59619798522471,13,0.4416726779891178,sg_smooth_w21_p3,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,MBPLS-blocks3-vanilla,0,2925,3925,196,48.697913514633036,-13.988137579420659,10,0.25512877700384706,,"65,66,65",ok,
GRAPEVINES,grapevine_chloride_556_KS,PLS-standard-numpy,0,388,167,1023,1168.0573377036449,0.38944342772459495,12,0.1426213570521213,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,AOM-PLS-compact-numpy,0,388,167,1023,977.5131269359118,0.5723949919450751,15,0.6215163830202073,sg_smooth_w21_p3,,ok,
GRAPEVINES,grapevine_chloride_556_KS,MBPLS-blocks3-vanilla,0,388,167,1023,1064.7246585238956,0.49269141588450793,14,0.13638597598765045,,"341,341,341",ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,PLS-standard-numpy,0,343,147,1003,0.841335729948319,0.8730664444987445,13,0.11727922596037388,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,AOM-PLS-compact-numpy,0,343,147,1003,0.7946789148284525,0.8867544463678159,14,0.5104036760167219,identity,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,MBPLS-blocks3-vanilla,0,343,147,1003,0.8601528168834598,0.8673250260480849,9,0.13584590901155025,,"334,335,334",ok,
