source,model,dataset_group,dataset,task,metric_name,metric_value,lower_is_better
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,PLUMS,Firmness_spxy70,regression,RMSEP,0.2967790298425745,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,PEACH,Brix_spxy70,regression,RMSEP,1.7103507371910391,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BEER,Beer_OriginalExtract_60_KS,regression,RMSEP,0.5783836208398858,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BEER,Beer_OriginalExtract_60_YbaseSplit,regression,RMSEP,0.9263079540752552,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BISCUIT,Biscuit_Sucrose_40_RandomSplit,regression,RMSEP,1.1544618734444572,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,BISCUIT,Biscuit_Fat_40_RandomSplit,regression,RMSEP,0.4196763112966035,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,IncombustibleMaterial,TIC_spxy70,regression,RMSEP,3.9911518618136697,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,regression,RMSEP,0.0662781069598637,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,regression,RMSEP,0.1972009927466326,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,RMSEP,1.4576145661742068,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,regression,RMSEP,3.8675945555060345,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,RMSEP,3.863437771536008,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,regression,RMSEP,4.314700311608212,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,regression,RMSEP,5.1975438880467655,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,DIESEL,DIESEL_bp50_246_b-a,regression,RMSEP,3.153566743158967,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,DIESEL,DIESEL_bp50_246_hla-b,regression,RMSEP,2.794447585311599,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,DIESEL,DIESEL_bp50_246_hlb-a,regression,RMSEP,3.137451600951606,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,MALARIA,Malaria_Sporozoite_229_Maia,regression,RMSEP,34187.77637020566,True
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,PHOSPHORUS,V25_spxyG,regression,RMSEP,0.3655739401903101,True
