size,added,subset,spearman,kendall,pairwise_agreement,rank_mae,agg_mae,selected_coverage_ratio,min_class_selected_count,composite,random_n_trials,random_spearman_mean,random_spearman_p05,random_kendall_mean,random_pairwise_mean,random_agg_mae_mean,random_agg_mae_p05,random_coverage_mean
3,TIC_spxy70,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70,1.0,1.0,1.0,0.0,0.26028574596873344,1.0,3,0.7479428508062533,200,0.6525,0.28571428571428575,0.525,0.7619642857142859,0.36618468874617915,0.1946203461365812,0.97
4,Chla+b_spxyG_species,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species,1.0,1.0,1.0,0.0,0.14402512083799496,1.0,4,0.771194975832401,200,0.7134523809523811,0.37976190476190486,0.5739285714285713,0.7860714285714286,0.31427515063433864,0.1654081316366072,0.96453125
5,ALPINE_P_291_KS,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS,1.0,1.0,1.0,0.0,0.05111673575097052,1.0,5,0.7897766528498059,200,0.731309523809524,0.4285714285714286,0.594642857142857,0.7967857142857143,0.29342917110948685,0.16147855102907385,0.9708749999999999
6,Beer_OriginalExtract_60_YbaseSplit,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit,1.0,1.0,1.0,0.0,0.10151021317153655,0.9791666666666666,5,0.7765729573656927,200,0.7689285714285715,0.5226190476190478,0.6342857142857143,0.8169642857142857,0.2562793718490956,0.12736466459784987,0.9739583333333333
7,All_manure_Total_N_SPXY_strat_Manure_type,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type,1.0,1.0,1.0,0.0,0.10302781173207051,0.9821428571428571,6,0.7767158662250144,200,0.803809523809524,0.5702380952380953,0.6642857142857143,0.8308928571428571,0.22832127258804646,0.13314718222584318,0.9723214285714286
8,Chla+b_spxyG_block2deg,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg,1.0,1.0,1.0,0.0,0.09914686927175266,0.984375,7,0.7778268761456495,200,0.802857142857143,0.5952380952380953,0.6685714285714286,0.8339285714285714,0.22724037926230395,0.11554907377811814,0.970625
9,N_woOutlier,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier,1.0,1.0,1.0,0.0,0.08320433170684749,0.9861111111111112,8,0.7812758003252972,200,0.8346428571428572,0.6428571428571429,0.7025,0.8510714285714286,0.1958856702466286,0.11176125545368637,0.970625
10,grapevine_chloride_556_KS,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS,1.0,1.0,1.0,0.0,0.07129754033008866,0.9875,9,0.7838654919339823,200,0.8341666666666668,0.6190476190476191,0.71,0.854642857142857,0.1925332310936226,0.09798377903273026,0.9691874999999999
11,Malaria_Sporozoite_229_Maia,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia,1.0,1.0,1.0,0.0,0.06212084476139085,0.9659090909090909,10,0.7824621946840855,200,0.8538095238095239,0.6654761904761907,0.7242857142857142,0.8614285714285714,0.17680367789303852,0.09344041788685524,0.9729545454545455
12,Pi_spxyG,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG,1.0,1.0,1.0,0.0,0.06697376581965693,0.96875,11,0.7819177468360686,200,0.8669047619047621,0.6904761904761906,0.7457142857142857,0.8719642857142857,0.1658819156624243,0.0906505889815997,0.9681770833333334
13,LUCAS_pH_Organic_1763_LiuRandomOrganic,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic,1.0,1.0,1.0,0.0,0.0562035583288758,0.9711538461538461,12,0.7844323652573018,200,0.8683333333333334,0.7130952380952382,0.7453571428571428,0.8726785714285714,0.16038665631270213,0.08904502265251091,0.9722596153846151
14,Rd25_GTtestSite,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite,1.0,1.0,1.0,0.0,0.04255151055421525,0.9732142857142857,13,0.7874718407462998,200,0.8783333333333334,0.7142857142857144,0.7628571428571428,0.88125,0.15098785045353375,0.07824541974862084,0.974107142857143
15,ph_groupSampleID_stratDateVar_balRows,All_manure_MgO_SPXY_strat_Manure_type|An_spxyG70_30_byCultivar_NeoSpectra|TIC_spxy70|Chla+b_spxyG_species|ALPINE_P_291_KS|Beer_OriginalExtract_60_YbaseSplit|All_manure_Total_N_SPXY_strat_Manure_type|Chla+b_spxyG_block2deg|N_woOutlier|grapevine_chloride_556_KS|Malaria_Sporozoite_229_Maia|Pi_spxyG|LUCAS_pH_Organic_1763_LiuRandomOrganic|Rd25_GTtestSite|ph_groupSampleID_stratDateVar_balRows,1.0,1.0,1.0,0.0,0.033055028256382,0.975,14,0.7896389943487236,200,0.8726190476190478,0.6904761904761906,0.7525,0.8757142857142859,0.14823500738569684,0.07911358961166384,0.9699583333333334
