dataset,n_models_all_sources,n_sources,dataset_group,in_core_57
ALPINE_P_291_KS,147,3,ALPINE,True
All_manure_CaO_SPXY_strat_Manure_type,147,3,MANURE21,True
All_manure_K2O_SPXY_strat_Manure_type,147,3,MANURE21,True
All_manure_MgO_SPXY_strat_Manure_type,147,3,MANURE21,True
All_manure_P2O5_SPXY_strat_Manure_type,147,3,MANURE21,True
All_manure_Total_N_SPXY_strat_Manure_type,147,3,MANURE21,True
An_spxyG70_30_byCultivar_ASD,147,3,GRAPEVINE_LeafTraits,True
An_spxyG70_30_byCultivar_MicroNIR,147,3,GRAPEVINE_LeafTraits,True
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,147,3,GRAPEVINE_LeafTraits,True
An_spxyG70_30_byCultivar_NeoSpectra,147,3,GRAPEVINE_LeafTraits,True
Corn_Oil_80_ZhengChenPelegYbaseSplit,147,3,CORN,True
Corn_Starch_80_ZhengChenPelegYbaseSplit,147,3,CORN,True
DIESEL_bp50_246_b-a,147,3,DIESEL,True
DIESEL_bp50_246_hla-b,147,3,DIESEL,True
DIESEL_bp50_246_hlb-a,147,3,DIESEL,True
Escitalopramt_310_Zhao,147,3,TABLET,True
Fv_Fm_grp70_30,147,3,FUSARIUM,True
LP_spxyG,147,3,PHOSPHORUS,True
MP_spxyG,147,3,PHOSPHORUS,True
Milk_Fat_1224_KS,147,3,MILK,True
NP_spxyG,147,3,PHOSPHORUS,True
Pi_spxyG,147,3,PHOSPHORUS,True
Quartz_spxy70,147,3,QUARTZ,True
Rd25_CBtestSite,147,3,DarkResp,True
Rd25_GTtestSite,147,3,DarkResp,True
Rd25_XSBNtestSite,147,3,DarkResp,True
Rd25_spxy70,147,3,DarkResp,True
Rice_Amylose_313_YbasedSplit,147,3,AMYLOSE,True
TIC_spxy70,147,3,IncombustibleMaterial,True
V25_spxyG,147,3,PHOSPHORUS,True
WOOD_Density_402_Olale,147,3,WOOD_density,True
WOOD_N_402_Olale,147,3,WOOD_density,True
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,147,3,GRAPEVINE_LeafTraits,True
grapevine_chloride_556_KS,147,3,GRAPEVINES,True
Beer_OriginalExtract_60_KS,145,3,BEER,True
Beer_OriginalExtract_60_YbaseSplit,145,3,BEER,True
Biscuit_Fat_40_RandomSplit,145,3,BISCUIT,True
Biscuit_Sucrose_40_RandomSplit,145,3,BISCUIT,True
Firmness_spxy70,143,3,PLUMS,True
Beef_Marbling_RandomSplit,142,3,BEEFMARBLING,True
C_woOutlier,142,3,COLZA,True
Ccar_spxyG_block2deg,142,3,ECOSIS_LeafTraits,True
Chla+b_spxyG_block2deg,142,3,ECOSIS_LeafTraits,True
Chla+b_spxyG_species,142,3,ECOSIS_LeafTraits,True
LMA_spxyG70_30_byCultivar_ASD,142,3,GRAPEVINE_LeafTraits,True
LUCAS_SOC_Cropland_8731_NocitaKS,142,3,LUCAS,True
LUCAS_pH_Organic_1763_LiuRandomOrganic,142,3,LUCAS,True
Milk_Lactose_1224_KS,142,3,MILK,True
Milk_Urea_1224_KS,142,3,MILK,True
N_wOutlier,142,3,COLZA,True
N_woOutlier,142,3,COLZA,True
brix_groupSampleID_stratDateVar_balRows,142,3,BERRY,True
ph_groupSampleID_stratDateVar_balRows,142,3,BERRY,True
ta_groupSampleID_stratDateVar_balRows,142,3,BERRY,True
Malaria_Oocist_333_Maia,138,3,MALARIA,True
Malaria_Sporozoite_229_Maia,138,3,MALARIA,True
Brix_spxy70,134,3,PEACH,True
LUCAS_SOC_all_26650_NocitaKS,6,2,LUCAS,False
FinalScore_grp70_30_scoreQ,4,3,FUSARIUM,False
Tleaf_grp70_30,4,3,FUSARIUM,False
LMA_spxyG_block2deg,2,2,ECOSIS_LeafTraits,False
