size,added,spearman,kendall,pairwise_agreement,rank_mae,agg_mae,composite,subset_str
1,All_manure_P2O5_SPXY_strat_Manure_type,0.960203287184792,0.8098718372967955,0.8965305118110236,8.546875,0.4281902759271604,0.8745925058099046,All_manure_P2O5_SPXY_strat_Manure_type
2,Fv_Fm_grp70_30,0.9660900075512239,0.8307657474157527,0.9112942913385826,7.7109375,0.1964686992998432,0.8992305796817981,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30
3,ta_groupSampleID_stratDateVar_balRows,0.9764613816982272,0.8727744549176866,0.9322096456692913,6.1015625,0.20952723411763485,0.9216034211495024,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows
4,WOOD_N_402_Olale,0.9812683930684989,0.8907647232246161,0.9415600393700787,5.359375,0.188284075368187,0.9327905822373986,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale
5,An_spxyG70_30_byCultivar_MicroNIR,0.9844130242241285,0.9010042111661309,0.9468503937007874,4.953125,0.15331670779476805,0.9404557557599885,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR
6,All_manure_CaO_SPXY_strat_Manure_type,0.9865761731511913,0.9101214423470818,0.9515255905511811,4.53125,0.1261014262578619,0.9468195078170624,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type
7,DIESEL_bp50_246_b-a,0.9883730746408677,0.9224420250240425,0.9578001968503937,4.015625,0.12687669425923,0.9530780617057163,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a
8,Malaria_Sporozoite_229_Maia,0.9893115836991702,0.924166906598817,0.9587844488188977,3.84375,0.10000429794327842,0.9556098252078185,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia
9,Chla+b_spxyG_block2deg,0.9945306096819245,0.9458511321102676,0.968873031496063,2.5703125,0.12537864603620166,0.9659605606528588,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg
10,DIESEL_bp50_246_hla-b,0.9951600974649323,0.9490544836062773,0.9707185039370079,2.4609375,0.06382984882008787,0.9708044428079541,All_manure_P2O5_SPXY_strat_Manure_type|Fv_Fm_grp70_30|ta_groupSampleID_stratDateVar_balRows|WOOD_N_402_Olale|An_spxyG70_30_byCultivar_MicroNIR|All_manure_CaO_SPXY_strat_Manure_type|DIESEL_bp50_246_b-a|Malaria_Sporozoite_229_Maia|Chla+b_spxyG_block2deg|DIESEL_bp50_246_hla-b
