model,ALPINE_P_291_KS,All_manure_CaO_SPXY_strat_Manure_type,All_manure_K2O_SPXY_strat_Manure_type,All_manure_MgO_SPXY_strat_Manure_type,All_manure_P2O5_SPXY_strat_Manure_type,All_manure_Total_N_SPXY_strat_Manure_type,An_spxyG70_30_byCultivar_ASD,An_spxyG70_30_byCultivar_MicroNIR,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,An_spxyG70_30_byCultivar_NeoSpectra,Beef_Marbling_RandomSplit,Beer_OriginalExtract_60_KS,Beer_OriginalExtract_60_YbaseSplit,Biscuit_Fat_40_RandomSplit,Biscuit_Sucrose_40_RandomSplit,Brix_spxy70,C_woOutlier,Ccar_spxyG_block2deg,Chla+b_spxyG_block2deg,Chla+b_spxyG_species,Corn_Oil_80_ZhengChenPelegYbaseSplit,Corn_Starch_80_ZhengChenPelegYbaseSplit,DIESEL_bp50_246_b-a,DIESEL_bp50_246_hla-b,DIESEL_bp50_246_hlb-a,Escitalopramt_310_Zhao,Firmness_spxy70,Fv_Fm_grp70_30,LMA_spxyG70_30_byCultivar_ASD,LP_spxyG,LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS_pH_Organic_1763_LiuRandomOrganic,MP_spxyG,Malaria_Oocist_333_Maia,Malaria_Sporozoite_229_Maia,Milk_Fat_1224_KS,Milk_Lactose_1224_KS,Milk_Urea_1224_KS,NP_spxyG,N_wOutlier,N_woOutlier,Pi_spxyG,Quartz_spxy70,Rd25_CBtestSite,Rd25_GTtestSite,Rd25_XSBNtestSite,Rd25_spxy70,Rice_Amylose_313_YbasedSplit,TIC_spxy70,V25_spxyG,WOOD_Density_402_Olale,WOOD_N_402_Olale,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,brix_groupSampleID_stratDateVar_balRows,grapevine_chloride_556_KS,ph_groupSampleID_stratDateVar_balRows,ta_groupSampleID_stratDateVar_balRows
AOM-compact-cv3-numpy,0.0607920585189263,7.956708483305158,2.5187208477569105,0.8038818165706888,2.3347551228503023,1.7288448293595216,3.924664127092537,3.61939867371316,3.8018856192510566,5.197543888046767,75.09710974076586,0.3288731834575107,0.2985422875159903,0.442133781365517,1.151771036149548,1.4204672370620972,2.578181266849206,74.51104841235468,46.18869619477093,50.78026849355031,0.0296536856230262,0.138825048492548,3.2098879761585923,3.1628523566067,3.0295653387466577,0.4135740958052136,0.3253825229113011,0.0313004338283994,0.3040285089519362,0.1740227048545429,4.886152291677541,0.4416696243147964,0.024333873847334,7930.904001931568,33811.329675840665,0.0948251785233808,0.0573534985266922,4.197357980537094,0.1216853757038202,0.3546073824573907,0.3222596469497696,0.1905974591997972,3.398765515452267e-09,0.2287746993631384,0.2085747113420383,0.2804748394320114,0.1797052580985586,2.47113102140502,3.788055843147295,0.3230913532632832,0.1335717612194024,0.050362658774665,1.5594523164359233,4.281733838228362,1027.211654785527,0.3448134019201604,2.171883626120552
AOM-compact-cv5-numpy,0.0607920585189263,8.24841476875877,2.485597872909592,0.7465822035673529,2.484911312503799,1.7288448293595216,4.077997851474462,3.525626689488803,3.791200099624012,5.155516687304964,75.05514029849627,0.3288731834575107,0.2793228826287099,0.442133781365517,1.1649498367043007,1.7489561606731527,2.578181266849206,70.98125640039996,46.18869619477093,50.78026849355031,0.0265166017645963,0.1394191461678669,3.2098879761585923,3.1039984195950616,3.104283833452879,0.4135740958052136,0.2949028166087614,0.0313004338283994,0.3032142789905723,0.170506818766177,4.886152291677541,0.4416696243147964,0.0226215712534769,7930.904001931568,33811.329675840665,0.0948251785233808,0.0573534985266922,4.197357980537094,0.1228717777217287,0.3576571672615714,0.3222596469497696,0.1980742318324117,3.398765515452267e-09,0.2287746993631384,0.2085747113420383,0.2847412126714401,0.1781223377032262,2.47113102140502,3.7127173960446944,0.3230913532632832,0.1306006767446517,0.0494642394667158,1.4155459406423567,4.281733838228362,977.5131269359132,0.3404823093244757,2.175504096022409
AOM-compact-cv5-oneSE-numpy,0.0658404531778488,8.21535516288557,2.618856310046643,0.8722799008893388,2.415432856582086,1.7879650929666462,3.92550105780016,3.4400208993859405,3.589473937715188,5.155516687304964,73.96021571116073,0.3288731834575107,0.2568723658502096,0.4596123125049884,1.0372030287768583,0.9646821714787392,1.871619175132444,55.86672720879382,53.1947117927065,60.832623465557184,0.0483095997059468,0.1296241335442014,3.634586420153751,3.851382142363405,3.882591351570792,0.4146620111548218,0.3253825229113011,0.0313004338283994,0.314806475847958,0.1547081398747242,5.120599081061821,0.4961981684312267,0.024333873847334,7953.722591100652,34046.17728593695,0.1322330893703592,0.0659803526082826,4.233005847814509,0.1045321845348423,0.4186515690642767,0.3964104442405227,0.1843693641826551,3.398765515452267e-09,0.2589677211546614,0.2219333503972153,0.2678096444133925,0.1790821102638709,2.4544527699838063,3.7127173960446944,0.2718741275259095,0.1286974223068357,0.050441954695611,1.589619323993804,4.354965767535166,1031.0505123153482,0.3493103596379021,2.2475791589727074
AOM-compact-oneSEcv3-numpy,0.0634396565895516,8.480997190768543,2.695390977552789,0.9220418586300118,2.396358233665589,1.7879650929666462,3.92550105780016,3.525626689488803,3.818166551599653,5.197543888046767,73.96021571116073,0.3288731834575107,0.2568723658502096,0.2740572196551213,1.0372030287768583,1.07173882650297,1.871619175132444,55.57345199829334,49.87087135152097,56.76883936498408,0.0517296114164852,0.1296241335442014,3.827165785586727,3.878867973689832,3.804078273892004,0.4146620111548218,0.3253825229113011,0.0313004338283994,0.3192377617022927,0.1698633709337957,5.120599081061821,0.4961981684312267,0.024333873847334,7953.722591100652,34046.17728593695,0.1322330893703592,0.0614171981695876,4.233005847814509,0.1020763280581805,0.431571661268291,0.3964104442405227,0.1845976975292478,3.398765515452267e-09,0.2278641640946068,0.2219333503972153,0.2829425611697126,0.1754586104291702,2.809563841407789,4.768429523581213,0.2718741275259095,0.1285536669714782,0.050441954695611,1.4097840847594956,4.447582867197306,1074.6265010860805,0.3492339309007606,2.233720389050846
AOM-compact-press-numpy,0.0839119924335342,11.644581240731773,3.613651981310409,1.2522389458002772,3.535594067195741,2.63095254237481,4.988593401834862,4.395494585730479,4.771731632161637,5.198495004228249,72.66856846205425,0.425090878001106,0.7703265593537222,0.3974846307069198,2.5100989661080253,2.0181761646619942,2.063764116829838,62.98913243310813,46.18869619477093,50.78026849355031,0.0427419262146364,0.1716982946000513,3.348372362138384,2.786498003201579,2.9662018449794694,0.562371956548244,0.2896121183997373,0.0298817174303827,0.3033852766131881,0.170506818766177,4.886152291677541,0.4683217258034229,0.0279635708727554,10681.741996844718,35708.53878553114,0.0960959042875567,0.0588361629987972,4.410214962452071,0.1372938936045382,0.3794777943247521,0.3226672458637098,0.2032118273774111,3.561980005955213e-09,0.2993597488587591,0.2962629476981777,0.283538342767155,0.1812041302892248,2.270758273806495,4.00865812201359,0.2978286839663502,0.1422308522219675,0.051727956534913,1.845046704201709,4.143343944869722,916.5580773140164,0.3723524579308986,1.935498408067392
AOM-compact-repcv3-numpy,0.0598845144888807,7.956708483305158,2.485597872909592,0.7914811275013638,2.5177757051268057,1.7288448293595216,3.92550105780016,3.525626689488803,3.818166551599653,5.155516687304964,73.36257755362814,0.2595054322300939,0.2994960089854169,0.442133781365517,1.082073307380811,1.0017970709166777,2.578181266849206,70.98125640039996,46.18869619477093,50.78026849355031,0.0265166017645963,0.138825048492548,3.2098879761585923,2.963358059280102,2.9662018449794694,0.3780292443436541,0.3253825229113011,0.0313004338283994,0.3032142789905723,0.1709036555421458,4.886152291677541,0.4416696243147964,0.024519219646231,7930.904001931568,33930.96079364952,0.0948251785233808,0.0573534985266922,4.197357980537094,0.1250987550001222,0.3590883475232105,0.3222596469497696,0.1905974591997972,3.398765515452267e-09,0.2287746993631384,0.1968682286119768,0.2804748394320114,0.1797052580985586,2.270758273806495,3.7127173960446944,0.3369296013945036,0.1307445986169115,0.0498235480850258,1.4360684849205956,4.354965767535166,977.5131269359132,0.3448134019201604,1.935498408067392
AOM-compact-repcv3-oneSE-numpy,0.0668578058837774,7.945259608880703,2.5716463243851333,0.8722799008893388,2.396358233665589,1.7879650929666462,3.92550105780016,3.4400208993859405,3.818166551599653,5.012778254986404,73.14403816124707,0.3288731834575107,0.2568723658502096,0.5490983541729934,1.315009172775429,1.074982534544758,1.871619175132444,57.79186872300805,49.87087135152097,60.832623465557184,0.0483095997059468,0.1359457962379096,3.634586420153751,3.851382142363405,3.1362095273049966,0.4146620111548218,0.3253825229113011,0.0313004338283994,0.3192377617022927,0.1698633709337957,5.120599081061821,0.4961981684312267,0.024333873847334,7953.722591100652,34046.17728593695,0.1143728322250905,0.0614171981695876,4.233005847814509,0.105988785316848,0.431571661268291,0.3964104442405227,0.1792281855766136,3.398765515452267e-09,0.2422800464805326,0.2219333503972153,0.2829425611697126,0.1790821102638709,2.809563841407789,4.897636762212527,0.2718741275259095,0.1286974223068357,0.050441954695611,1.4030141720263911,4.5073555900637325,1044.2175618673948,0.3492339309007606,2.233720389050846
AOM-compact-simpls-covariance-numpy,0.0602139375074288,7.72034597558796,2.608539791796668,0.7946789148284525,2.7062747301994072,1.7313050242229395,3.904052294157028,3.6907866055943135,3.968067027375122,5.117988787348381,72.7827852830316,0.4250908780011068,0.9473565532735878,0.5490983541729932,1.194712443409029,2.0181761646620657,2.5781812668491764,62.98913243310822,46.38155006768061,50.78026849355085,0.0265166017645969,0.1388250484925488,3.174703293794276,2.926505684604138,3.018745524649935,0.3759896391020082,0.4320036360381859,0.0337650987839693,0.3098774365028794,0.1728182123039681,4.886152291677484,0.4683217258034163,0.0190535904663278,8634.838632348137,34317.06383479275,0.1102797481836828,0.0568684909881534,4.181714113729996,0.1116231406552717,0.3429315105853032,0.3417090507763308,0.1892153843924935,3.3915181591560317e-09,0.267069303165675,0.2038005769093663,0.2706237199661699,0.1830246266464244,2.2707582738064915,2.950062010529332,0.372383928622764,0.1286974223068357,0.0501890249981298,1.7609425297162018,4.360670385671456,977.5131269359118,0.3448134019201602,2.252388959089023
AOM-default-nipals-adjoint-numpy,0.0673304408295094,7.689144687644411,2.506858594170727,0.7168578848596983,2.7181724835994707,1.7226059052206846,3.904052294157023,4.342701659250161,4.353367958873348,5.524703973348429,72.78278528303186,0.2041832245698669,0.2107115974147592,0.5490983541729934,4.346934040836874,2.018176164662046,2.327531223099358,81.25415965345452,45.39112303504521,50.78026849355031,0.0221767524674988,0.1694680967921089,3.2392441601603856,2.7299217516730865,3.7028092269063935,0.3722321369439038,0.3770677218964058,0.0332806883930885,0.3099387942566557,0.1728182123039682,5.186874935549919,0.4578914547887714,0.0193104629979034,8634.717302626463,35459.12504496326,0.1088748356704677,0.0579541920544823,4.252640828548336,0.1241455025049701,0.3481335738414483,0.3393929425576861,0.1995011306179031,3.3915181732067243e-09,0.24722866703895,0.2040336712896285,0.2636621588493365,0.1802349854499946,1.8872509364111647,3.092131547331423,0.3414635160305277,0.1392575584438161,0.0504005592490464,1.5559010794745662,4.1629026505997855,962.748146765652,0.3513128408267453,1.87331437311998
AOM-default-oneSEcv3-numpy,0.0572883873409942,8.622393761538085,2.412466372916033,0.8576500460277494,2.3358928693841707,1.764622725161466,3.92550105780016,3.5543033087542324,3.820834368032705,5.197543888046767,73.49402485560549,0.1540369600093148,0.2074260424079046,0.5610969694339878,1.1763536680636812,0.8781333970109643,1.9004811146260328,51.27774877352509,49.87087135152097,56.76883936498408,0.0455048852318927,0.1591100961670707,3.827165785586727,3.8597148785026536,3.804078273892004,0.4231394302794125,0.3253825229113011,0.0315831379034353,0.3204417855658107,0.1747558005631269,5.120599081061821,0.4671566793258091,0.0231387698488799,7953.722591100652,34046.17728593695,0.1092513464588808,0.0614171981695876,4.2223325549780295,0.1169371479167009,0.4348293424269149,0.4075227471634456,0.1764307680722781,3.398765515452267e-09,0.23099003020389,0.2389131097071899,0.2768278953656022,0.1827302360021761,2.2745023248893603,2.948120757463263,0.292075459695971,0.1290993895400911,0.050441954695611,1.6000889811215513,4.009898976314049,1058.6423134109675,0.3372344990758822,1.949339972151352
