model,ALPINE_P_291_KS,All_manure_CaO_SPXY_strat_Manure_type,All_manure_K2O_SPXY_strat_Manure_type,All_manure_MgO_SPXY_strat_Manure_type,All_manure_P2O5_SPXY_strat_Manure_type,All_manure_Total_N_SPXY_strat_Manure_type,An_spxyG70_30_byCultivar_ASD,An_spxyG70_30_byCultivar_MicroNIR,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,An_spxyG70_30_byCultivar_NeoSpectra,Beef_Marbling_RandomSplit,Beer_OriginalExtract_60_KS,Beer_OriginalExtract_60_YbaseSplit,Biscuit_Fat_40_RandomSplit,Biscuit_Sucrose_40_RandomSplit,Brix_spxy70,C_woOutlier,Ccar_spxyG_block2deg,Chla+b_spxyG_block2deg,Chla+b_spxyG_species,Corn_Oil_80_ZhengChenPelegYbaseSplit,Corn_Starch_80_ZhengChenPelegYbaseSplit,DIESEL_bp50_246_b-a,DIESEL_bp50_246_hla-b,DIESEL_bp50_246_hlb-a,Escitalopramt_310_Zhao,Firmness_spxy70,Fv_Fm_grp70_30,LMA_spxyG70_30_byCultivar_ASD,LP_spxyG,LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS_pH_Organic_1763_LiuRandomOrganic,MP_spxyG,Malaria_Oocist_333_Maia,Malaria_Sporozoite_229_Maia,Milk_Fat_1224_KS,Milk_Lactose_1224_KS,Milk_Urea_1224_KS,NP_spxyG,N_wOutlier,N_woOutlier,Pi_spxyG,Quartz_spxy70,Rd25_CBtestSite,Rd25_GTtestSite,Rd25_XSBNtestSite,Rd25_spxy70,Rice_Amylose_313_YbasedSplit,TIC_spxy70,V25_spxyG,WOOD_Density_402_Olale,WOOD_N_402_Olale,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,brix_groupSampleID_stratDateVar_balRows,grapevine_chloride_556_KS,ph_groupSampleID_stratDateVar_balRows,ta_groupSampleID_stratDateVar_balRows
AOM-compact-cv3-numpy,-1.2874606290210846,-1.0805528898662067,-0.6887317965287302,-1.1791362357526178,-1.4417190286376504,-1.1639167420394319,0.27310044748357737,-0.8735471714788857,-0.7144077782635816,0.18321656541695644,-0.7954795674842227,-0.5355502353147235,-0.9197416802695063,-1.4639826848342952,-1.6245856761576356,-0.48965307717370976,-0.07149381524077399,1.066943832919371,0.6941863875376256,0.7445821562497403,-1.6367326073867514,-1.1758338289304349,-1.2896540920677726,-1.2868276097413602,-1.2922101766185006,-1.0119007373867865,0.04083003991558477,-0.5429063242486948,-1.277738858635987,-0.35765257894491287,-1.297332559700905,-1.1873057491073353,0.7754474458726788,-0.19595644313005076,-0.2742029391670736,-1.0215070980900853,-1.2651900928058215,-0.798960175392695,-0.3048716568343698,-1.1920459159929777,-1.2308403432659794,-0.05293342077487081,-1.9368444022968327,-1.5687274289298225,-1.4818904334030205,-0.34747232377527487,-1.088770067524378,-1.0424039767507052,-0.8674856691319416,0.10229065147525725,-0.44523559046285527,-0.6676644603632838,-0.6074785387103179,-0.7894135162004801,-0.6912688390755325,-0.6428735265286073,-0.4309262851662355
AOM-compact-cv5-numpy,-1.2874606290210846,-0.9498447007074136,-0.7068794844772286,-1.3398154633701147,-1.3118545699437565,-1.1639167420394319,0.47836101604088693,-1.0377794838392298,-0.7305714275278009,0.15531015690297556,-0.797947521656687,-0.5355502353147235,-0.9938661324234285,-1.4639826848342952,-1.6069506583090132,0.09389800750194632,-0.07149381524077399,1.0105977446351007,0.6941863875376256,0.7445821562497403,-1.7876388595989208,-1.171931934929985,-1.2896540920677726,-1.3091409976008819,-1.262971687114166,-1.0119007373867865,-0.22902262127040862,-0.5429063242486948,-1.2830684723314105,-0.407707115228561,-1.297332559700905,-1.1873057491073353,0.34178137849219886,-0.19595644313005076,-0.2742029391670736,-1.0215070980900853,-1.2651900928058215,-0.798960175392695,-0.2864638295840158,-1.1801295136867376,-1.2308403432659794,0.06930653078100334,-1.9368444022968327,-1.5687274289298225,-1.4818904334030205,-0.3148418751602433,-1.1264403880198133,-1.0424039767507052,-0.912493157782895,0.10229065147525725,-0.5042635485531829,-0.7181641463407751,-0.9819217090539422,-0.7894135162004801,-0.8181492297074361,-0.6645168655743409,-0.42804055565437665
AOM-compact-cv5-oneSE-numpy,-0.9959366561563824,-0.9644238237549437,-0.6352858046434202,-1.0017004732918038,-1.3709394229607843,-1.1061957557793525,0.27424243109386676,-1.1915693956701887,-1.0445761395294093,0.15531015690297556,-0.862825412962024,-0.5355502353147235,-1.0872012819833856,-1.4112194603276467,-1.7869867212774,-1.5750596609331595,-1.2197102928854489,0.7325953040747574,0.9312571312488315,1.0712014110226502,-0.9780677982300827,-1.2384926390333069,-1.1279461502481545,-1.0528524211387145,-0.9944911617782289,-1.0082410846091587,0.04083003991558477,-0.5429063242486948,-1.208505298725782,-0.6461653135787716,-1.1006136249572673,-0.9404812072067247,0.7754474458726788,-0.17877622098055582,-0.22415131496355648,-0.7211248116006304,-1.018700952163904,-0.7540332974591477,-0.5931424551185601,-0.9610174939553904,-0.951740816169799,-0.15847671732899135,-1.9368444022968327,-0.9679389178293099,-1.2713119214652913,-0.4473465957204481,-1.1035599805525411,-1.056907493108599,-0.912493157782895,-0.37986314175765235,-0.5427862974589959,-0.6632506265183898,-0.533378830220683,-0.7206636477434863,-0.6817251000417966,-0.6206871185763524,-0.371570617215225
AOM-compact-oneSEcv3-numpy,-1.1316771866415356,-0.8488992781438057,-0.5957967209468961,-0.8811468081907294,-1.3874580882470662,-1.1061957557793525,0.27424243109386676,-1.0377794838392298,-0.6898672574395358,0.18321656541695644,-0.862825412962024,-0.5355502353147235,-1.0872012819833856,-2.114868028615798,-1.7869867212774,-1.2798553154941652,-1.2197102928854489,0.7264844205598965,0.8229450465910428,0.9461752894834555,-0.885754938424408,-1.2384926390333069,-1.0607571987133095,-1.0444046188525773,-1.0190075968366592,-1.0082410846091587,0.04083003991558477,-0.5429063242486948,-1.1807255677734458,-0.41697930595756666,-1.1006136249572673,-0.9404812072067247,0.7754474458726788,-0.17877622098055582,-0.22415131496355648,-0.7211248116006304,-1.1447697945921136,-0.7540332974591477,-0.6382472636227978,-0.9187233036631552,-0.951740816169799,-0.1545447479628027,-1.9368444022968327,-1.5880548707502549,-1.2713119214652913,-0.32853846448190416,-1.1905938881041007,-0.7675158978250098,-0.35182129998132755,-0.37986314175765235,-0.5457190724699612,-0.6632506265183898,-0.9976959086298076,-0.6353521488609254,-0.5758157624623553,-0.6210617996564877,-0.38228682308175566
AOM-compact-press-numpy,-0.10964069073390598,0.30192597229275603,-0.193887059768964,-0.21602365713403238,-0.5771200616273509,-0.4431188782870331,1.5577980581825388,0.34192469379231955,0.59045023820131,0.18384550007653533,-0.9406060776131886,-0.23898898248033704,0.13615576770769447,-1.6088590023455203,-0.4170820799259863,0.4955163387418604,-0.8693531831575461,0.8719097615688209,0.6941863875376256,0.7445821562497403,-1.1433264862730708,-0.9816461170747112,-1.2346861853614794,-1.4373268489377005,-1.317575999320817,-0.5837772001544315,-0.27869177628963804,-0.7299592878553449,-1.2819480061483834,-0.407707115228561,-1.297332559700905,-1.063073484427414,1.601784012678994,1.5846422105430689,0.12056539099404,-1.0094823428932846,-1.2202931451065213,-0.5361681658973034,-0.07590567879082943,-1.0977229594097602,-1.2291368235555535,0.1506565941288895,-1.9301662277019505,-0.2654880647492094,-0.2914462312323648,-0.32399201460608335,-1.0534045386482398,-1.2235066135928885,-0.740669720621067,-0.12515017906897133,-0.28040848362394405,-0.592620991416409,0.042908414189242426,-0.9226055717205287,-0.9828820500712989,-0.5113080124758781,-0.6305694025054831
AOM-compact-repcv3-numpy,-1.3424259642386427,-1.0805528898662067,-0.7068794844772286,-1.212916805498692,-1.2844797037053313,-1.1639167420394319,0.27424243109386676,-1.0377794838392298,-0.6898672574395358,0.15531015690297556,-0.898643837715597,-0.8093044540705834,-0.9161887981529203,-1.4639826848342952,-1.7213411958159837,-1.4691619499447524,-0.07149381524077399,1.0105977446351007,0.6941863875376256,0.7445821562497403,-1.7876388595989208,-1.1758338289304349,-1.2896540920677726,-1.3642236492863378,-1.317575999320817,-1.1370879318185934,0.04083003991558477,-0.5429063242486948,-1.2830684723314105,-0.40200605957059715,-1.297332559700905,-1.1873057491073353,0.8205458349607715,-0.19595644313005076,-0.2486634073536118,-1.0215070980900853,-1.2651900928058215,-0.798960175392695,-0.2523857585070549,-1.1745724603226293,-1.2308403432659794,-0.05293342077487081,-1.9368444022968327,-1.5687274289298225,-1.6778250156159207,-0.34747232377527487,-1.088770067524378,-1.2235066135928885,-0.912493157782895,0.21944869275548362,-0.5013733735343374,-0.697858391009516,-0.926254247342807,-0.7206636477434863,-0.8181492297074361,-0.6428735265286073,-0.6305694025054831
AOM-compact-repcv3-oneSE-numpy,-0.9399027645068961,-1.0857801537371892,-0.6602241145051773,-1.0017004732918038,-1.3874580882470662,-1.1061957557793525,0.27424243109386676,-1.1915693956701887,-0.6898672574395358,0.058802633850953946,-0.9118145281851384,-0.5355502353147235,-1.0872012819833856,-1.1691231538540339,-1.419140778222758,-1.271378309596215,-1.2197102928854489,0.7719295980427192,0.8229450465910428,1.0712014110226502,-0.9780677982300827,-1.1949837959001781,-1.1279461502481545,-1.0528524211387145,-1.2506926690779423,-1.0082410846091587,0.04083003991558477,-0.5429063242486948,-1.1807255677734458,-0.41697930595756666,-1.1006136249572673,-0.9404812072067247,0.7754474458726788,-0.17877622098055582,-0.22415131496355648,-0.8521989928628017,-1.1447697945921136,-0.7540332974591477,-0.5668881986045494,-0.9187233036631552,-0.951740816169799,-0.24832277288106447,-1.9368444022968327,-1.290753988175101,-1.2713119214652913,-0.32853846448190416,-1.1035599805525411,-0.7675158978250098,-0.29192189723207274,-0.37986314175765235,-0.5427862974589959,-0.6632506265183898,-1.016312443471093,-0.5812324107537219,-0.6492584977316368,-0.6210617996564877,-0.38228682308175566
AOM-compact-simpls-covariance-numpy,-1.3223787708731356,-1.1900265067714475,-0.6406968215715068,-1.2041553740811908,-1.1340568529605695,-1.1614756731583016,0.24489868716884736,-0.7513462269957976,-0.4687151739922903,0.13019838315979268,-0.9336726479199067,-0.23898898248033498,0.36658442848728423,-1.1691231538540343,-1.5678473778948443,0.49551633874195977,-0.07149381524081538,0.8719097615688229,0.7011808985112027,0.7445821562497588,-1.7876388595988901,-1.1758338289304295,-1.30399766716546,-1.379089592765808,-1.2965038063240533,-1.1446243266656528,0.8184675808903094,-0.23725193323768723,-1.2398685973997088,-0.3746857517292214,-1.2973325597009535,-1.0630734844274436,-0.6784013346699224,0.31255382098807843,-0.16684595237792121,-0.8851189451244142,-1.2801290136552959,-0.818796678008961,-0.4686215299344699,-1.2386341334952533,-1.1518620898506202,-0.07605365059876618,-1.9371483277415615,-0.8186464975952197,-1.5604348096572882,-0.4247533731158183,-1.010841714471978,-1.223506613592892,-1.427650691390274,0.4989463299684933,-0.5427862974589959,-0.6773537234391531,-0.13752851096043858,-0.7153568033856164,-0.8181492297074406,-0.6428735265286084,-0.3678669094618662
AOM-default-nipals-adjoint-numpy,-0.9141603603606244,-1.2047275198995455,-0.6952034082905842,-1.42809673903825,-1.1249171169241368,-1.1701227718985763,0.24489868716884022,0.2663243853425141,0.06348409248234424,0.39303766233572757,-0.933672647919891,-1.0863698057820745,-1.3078585121101884,-1.1691231538540339,0.43411265361124474,0.4955163387419327,-0.43815724314670546,1.1675282793868378,0.6649461086333749,0.7445821562497403,-2.0288483895517158,-0.9935922239270196,-1.2778063987023742,-1.4616947808374474,-1.0513879507789814,-1.1586160507943146,0.44530694506551044,-0.2955246684097732,-1.2394751222887717,-0.37468575172921975,-1.0466346573580256,-1.1108284984905137,-0.5988096061004263,0.3124697971088412,0.06988176936739679,-0.8967007583008871,-1.246862034618636,-0.7294487212347351,-0.26689793408576956,-1.2176843510631674,-1.1610279440413143,0.09211015603520357,-1.9371483271517014,-1.19276248475023,-1.5565573986707322,-0.4810818437881288,-1.0762376878757103,-1.619696288202302,-1.3222736667249375,0.2567894770601008,-0.33584620964217804,-0.6655539470812321,-0.6162956443484084,-0.9035138587298871,-0.8570893944400008,-0.6108993399389369,-0.6871473017717645
AOM-default-oneSEcv3-numpy,-1.5043852345768984,-0.7888747184913526,-0.7478190158022466,-1.038453554997161,-1.440703968266222,-1.1287543325883318,0.27424243109386676,-0.9870960884070531,-0.685855993988411,0.18321656541695644,-0.8907408002228515,-1.4120456024868573,-1.3253644862913956,-1.1397057113661022,-1.5918510545607107,-1.8387381777141694,-1.1648479545293828,0.6330819308211615,0.8229450465910428,0.9461752894834555,-1.0587882884980506,-1.0512189813575221,-1.0607571987133095,-1.0502849935053542,-1.0190075968366592,-0.9800484240527468,0.04083003991558477,-0.5066475028552122,-1.1732441501238347,-0.34734322101480725,-1.1006136249572673,-1.0683546002349067,0.47613669168329475,-0.17877622098055582,-0.22415131496355648,-0.8935822856317072,-1.1447697945921136,-0.7674450051284787,-0.3803852363483159,-0.9082590969068426,-0.9144813741134321,-0.29829869586494695,-1.9368444022968327,-1.5220232006799115,-1.0212396194372777,-0.375761126349613,-1.0176957322552072,-1.2199783427164914,-1.4291254586651072,-0.17964167000860481,-0.5346030550820645,-0.6632506265183898,-0.5079903577238308,-1.055320387316915,-0.6141573297596453,-0.6809282319575628,-0.6182232111611998
