subset_name,scope,subset_size,eligible_candidates,status,spearman_subset_vs_global,pairwise_agreement,top5_overlap,subset_winner_candidate,subset_winner_class,subset_winner_global_median_ratio,global_oracle_candidate,global_oracle_class,global_oracle_median_ratio,winner_global_rank,subset_winner_subset_rank,global_regret_abs,global_regret_pct
full_core_57,all_candidates,57,147,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
full_core_57,no_tabpfn,57,143,ok,0.9999999999999998,1.0,1.0,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,1.0,1.0,0.0,0.0
full_core_57,tabpfn_only,57,4,ok,1.0,1.0,1.0,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
full_core_57,aom_pls_only,57,122,ok,1.0,1.0,1.0,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,AOM_v0 | AOM-PLS | ASLS-AOM-compact-cv5-numpy | ASLS-AOM-compact-cv5-numpy,AOM-PLS,1.03352267517,1.0,1.0,0.0,0.0
full_core_57,aom_ridge_only,57,0,too_few_candidates,,,,,,,,,,,,,
full_core_57,meta_selector_only,57,10,ok,0.9999999999999999,1.0,1.0,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,1.0,1.0,0.0,0.0
full_core_57,ridge_only,57,0,too_few_candidates,,,,,,,,,,,,,
full_core_57,pls_only,57,3,ok,1.0,1.0,1.0,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,AOM_v0 | PLS | PLS-standard-numpy | PLS-standard-numpy,PLS,1.07679967572,1.0,1.0,0.0,0.0
current_class_balanced_10,all_candidates,10,178,ok,0.9620721977335671,0.9189995556401955,0.8,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,tabpfn_paper | TabPFN | TabPFN-HPO-preprocessing | TabPFN-HPO-preprocessing,TabPFN,0.93682977967,1.0,1.0,0.0,0.0
current_class_balanced_10,no_tabpfn,10,174,ok,0.9598035396576979,0.9156866653378513,0.4,AOM_v0_multiview | Meta-selector/MoE | mean-ensemble-3-fixed | mean-ensemble-3-fixed,Meta-selector/MoE,1.01778663446,AOM_v0_Ridge | AOM-Ridge | AOMRidge-Blender-headline-spxy3 | AOMRidge-Blender-headline-spxy3,AOM-Ridge,0.98974053093,9.0,1.0,0.02804610352999992,0.028336824302473085
