dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,selected_operators,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
ALPINE_P_291_KS,ALPINE,PLS-baseline,247,44,2151,0.0622707496529526,0.0589773153713793,0.0595929243596609,0.0434172262265824,0.0664148023614497,0.0603528865617188,0.0580812657263183,OK,,0.06822543689418309,0.20340939098969102,0.0006705099949613214,,0.09562575164771836,0.15680811282386298,0.1448580117065985,0.5713909621525233,0.02726251480625308,0.1304419851470331,0.17465478826967384
ALPINE_P_291_KS,ALPINE,AOMPLS-compact,247,44,2151,0.0622707496529526,0.0589773153713793,0.0595929243596609,0.0434172262265824,0.0664148023614497,0.0603528865617188,0.0580812657263183,OK,,0.06079205851892624,4.144889095099643,0.00013660697732120752,"sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2",-0.023746159188180793,0.030770189116265056,0.020122089529089227,0.40018291821935903,-0.0846610039117901,0.00727673492067904,0.04667241250184406
ALPINE_P_291_KS,ALPINE,AOMPLS-compact-with-fck,247,44,2151,0.0622707496529526,0.0589773153713793,0.0595929243596609,0.0434172262265824,0.0664148023614497,0.0603528865617188,0.0580812657263183,OK,,0.05987686042574032,8.33700493001379,0.00012121500913053751,"fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31",-0.038443237644542716,0.015252390664047821,0.004764593601176426,0.3791037712372429,-0.09844103578187124,-0.007887379760894708,0.03091521296872135
ALPINE_P_291_KS,ALPINE,AOMPLS-fck-only,247,44,2151,0.0622707496529526,0.0589773153713793,0.0595929243596609,0.0434172262265824,0.0664148023614497,0.0603528865617188,0.0580812657263183,OK,,0.05987686042574032,3.123770221020095,0.00011775700841099024,"fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31,fck_a0.50_s1.00_k31",-0.038443237644542716,0.015252390664047821,0.004764593601176426,0.3791037712372429,-0.09844103578187124,-0.007887379760894708,0.03091521296872135
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,7.528544191989094,6.898422615369386,5.561677568553957,5.621742848992302,6.357270272396967,6.548555293539626,7.133220363198135,OK,,8.967657367215246,0.05488096992485225,0.0006075450219213963,,0.19115424423721517,0.29995766673321733,0.6124015203468272,0.5951738825660977,0.41061445918895156,0.369410040114061,0.25716813873876343
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact,343,147,1003,7.528544191989094,6.898422615369386,5.561677568553957,5.621742848992302,6.357270272396967,6.548555293539626,7.133220363198135,OK,,8.248414768758757,3.487379481084645,0.00027775007765740156,"sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2",0.09561882860907644,0.19569577404284377,0.483080359673449,0.46723444851933893,0.29747744162664747,0.25957778456816283,0.15633814024786852
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact-with-fck,343,147,1003,7.528544191989094,6.898422615369386,5.561677568553957,5.621742848992302,6.357270272396967,6.548555293539626,7.133220363198135,OK,,8.248414768758757,4.596318969037384,0.0002644769847393036,"sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2,sg_d1_w11_p2",0.09561882860907644,0.19569577404284377,0.483080359673449,0.46723444851933893,0.29747744162664747,0.25957778456816283,0.15633814024786852
All_manure_CaO_SPXY_strat_Manure_type,MANURE21,AOMPLS-fck-only,343,147,1003,7.528544191989094,6.898422615369386,5.561677568553957,5.621742848992302,6.357270272396967,6.548555293539626,7.133220363198135,OK,,7.839968474859279,1.7140357620082796,0.0002308320254087448,"fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31,fck_a2.00_s1.00_k31",0.0413658039228304,0.1364871235044618,0.4096409542305919,0.3945797033858627,0.23322875053781056,0.19720581463115638,0.09907840718161665
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,PLS-baseline,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.7839191459868,0.06475911103188992,0.0007472999859601259,,0.17916764173608568,0.18876704786686638,0.03897256941805516,0.04723748351861756,-0.01974621679891775,-0.06787910128367503,0.19459742407987557
All_manure_K2O_SPXY_strat_Manure_type,MANURE21,AOMPLS-compact,343,147,1003,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729,2.83999836949951,2.9866502830487853,2.3304245345506924,OK,,2.4855978729095995,3.3461268390528858,0.0002492140047252178,"sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3,sg_smooth_w21_p3",0.05280952082540846,0.06138026667277252,-0.07236242393040249,-0.06498316762629874,-0.12478897889380347,-0.1677640040358891,0.06658586710632308
