dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
DIESEL_bp50_246_hlb-a,DIESEL,PLS-baseline,133,113,401,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545,9.316116492179855,6.045254390410433,2.6726566204675217,OK,,3.750599550501717,0.0028676639776676,0.0002618050202727,0.1238914908329797,0.345269435356677,0.0729713114108938,0.2749803843266174,-0.5974074010721045,-0.3795795332531778,0.4033226422650706
DIESEL_bp50_246_hlb-a,DIESEL,FCK-PLS,133,113,401,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545,9.316116492179855,6.045254390410433,2.6726566204675217,OK,,3.794608740607748,0.3730482339160517,0.0214301540981978,0.1370791301990652,0.3610547031591342,0.0855614580758137,0.2899408868702133,-0.5926834165509821,-0.3722995765691642,0.4197891010570469
DIESEL_bp50_246_hlb-a,DIESEL,FCK-Ridge,133,113,401,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545,9.316116492179855,6.045254390410433,2.6726566204675217,OK,,14.63813675106834,0.0222826729295775,0.0249394499696791,3.3864126560710783,4.250424017981153,3.187677349959894,3.976094346890781,0.5712702565876997,1.4214260981785598,4.476998668279252
DIESEL_bp50_246_hlb-a,DIESEL,FCK-AOMPLS,133,113,401,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545,9.316116492179855,6.045254390410433,2.6726566204675217,OK,,3.952566200690227,17.87786558107473,0.0085011899936944,0.1844121080096503,0.4177110697678026,0.1307499194963777,0.3436370121033845,-0.5757281261984976,-0.3461704098077047,0.4788903933341102
DIESEL_bp50_246_hlb-a,DIESEL,ASLS-FCK-PLS,133,113,401,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545,9.316116492179855,6.045254390410433,2.6726566204675217,OK,,3.931604763946982,0.3762755440548062,0.0795333640417084,0.1781308774825962,0.4101925971097238,0.1247532728353266,0.336511372504946,-0.5779781449440596,-0.3496378299342251,0.4710474715825019
DIESEL_bp50_246_hlb-a,DIESEL,Concat-SNV-FCK-AOMPLS,133,113,401,3.3371545038764685,2.7879913509722343,3.4955264046807555,2.941691963741545,9.316116492179855,6.045254390410433,2.6726566204675217,OK,,4.354628558744916,19.39976297703106,0.0469291770132258,0.3048927023566157,0.5619232668086867,0.2457718965915298,0.4803142587391285,-0.5325704050179833,-0.2796616523445814,0.629325864533683
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,PLS-baseline,64,16,700,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999,0.1400469931426546,0.0934955426164865,0.0262473911243209,OK,,0.0794688998884934,0.0028312070062384,0.0002130779903382,2.3850362952944786,0.8675747873809301,-0.27905850239247,2.2131540601851825,-0.4325554722367736,-0.1500247213445197,2.027687571389042
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,FCK-PLS,64,16,700,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999,0.1400469931426546,0.0934955426164865,0.0262473911243209,OK,,0.0479717429904147,0.3370310789905488,0.0028638259973376,1.043391709196228,0.1273695476007046,-0.5648005662230035,0.9396342591893596,-0.6574596718292278,-0.4869087696812221,0.8276766160566735
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,FCK-Ridge,64,16,700,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999,0.1400469931426546,0.0934955426164865,0.0262473911243209,OK,,0.1697483197845382,0.0266196320299059,0.0037550170673057,6.23055464895286,2.989204363904641,0.5399559834544343,5.863408247636708,0.2120811448742015,0.8155766043396995,5.467245410430486
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,FCK-AOMPLS,64,16,700,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999,0.1400469931426546,0.0934955426164865,0.0262473911243209,OK,,0.0303978220084883,43.23765135707799,0.0021538690198212,0.2948176071521684,-0.2856298998224097,-0.7242310972775923,0.2290705589785464,-0.7829455575849136,-0.6748741046064783,0.1581273683357289
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,ASLS-FCK-PLS,64,16,700,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999,0.1400469931426546,0.0934955426164865,0.0262473911243209,OK,,0.0325726021560417,0.3328103109961375,0.0078557629603892,0.3874539685977634,-0.234521043686659,-0.7045015016905855,0.3170031171355929,-0.767416626197303,-0.6516133149828034,0.2409843706660779
Corn_Oil_80_ZhengChenPelegYbaseSplit,CORN,Concat-SNV-FCK-AOMPLS,64,16,700,0.0234765281539116,0.0425519237170362,0.1102293322720551,0.024732365270999,0.1400469931426546,0.0934955426164865,0.0262473911243209,OK,,0.0319716916042131,52.43880551797338,0.0026839990168809,0.3618577412557546,-0.2486428623810276,-0.7099529594781142,0.2927065912981224,-0.7717074041593581,-0.6580404722034795,0.2180902647725675
MP_spxyG,PHOSPHORUS,PLS-baseline,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0244018684832404,0.015014718985185,0.000694966991432,0.1508475285687158,0.1575607896969189,0.2209133064061677,0.14433863337695,0.2362237566686533,0.269499575614901,0.2062048607629212
MP_spxyG,PHOSPHORUS,FCK-PLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0247735559482882,1.0217238450422883,0.0559031320735812,0.1683771534351059,0.1751926704627973,0.239510168044565,0.161769115230757,0.2550538259587809,0.288836499730511,0.2245776844396485
MP_spxyG,PHOSPHORUS,FCK-Ridge,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0194211022463893,0.1624647660646587,0.0452052230248227,-0.0840567173088294,-0.078713727657562,-0.0282923549900777,-0.0892370549996557,-0.016106984013662,0.0103767699878511,-0.039998598998365
MP_spxyG,PHOSPHORUS,FCK-AOMPLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0227723611294078,70.03076933405828,0.0504961389815434,0.0739962615343583,0.0802612246814409,0.1393831886388614,0.0679220171804,0.1536712380425626,0.1847249651963334,0.1256569432052252
MP_spxyG,PHOSPHORUS,ASLS-FCK-PLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.0272261362857512,0.6280710370047018,0.1255324369994923,0.2840464113824679,0.2915366641278192,0.362221589552935,0.2767841778497204,0.3793040685331388,0.4164312246881176,0.3458107910966765
MP_spxyG,PHOSPHORUS,Concat-SNV-FCK-AOMPLS,169,88,2101,0.0212033895694146,0.0210804207437171,0.0199865693618074,0.0213239925416399,0.0197390386259831,0.0192216436712246,0.0202302853163818,OK,,0.022355810749006,53.98738937894814,0.0625312170013785,0.0543507997067507,0.0605011646017112,0.1185416738765621,0.0483876649905641,0.1325683673154387,0.1630540619413003,0.1050665079302208
TIC_spxy70,IncombustibleMaterial,PLS-baseline,43,19,254,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023,4.484732080735033,3.8836388033062335,3.727188326568226,OK,,4.0675223382731485,0.0031833839602768,0.0002594690304249,0.4590506363858746,0.6225516004967175,0.1742039484114455,0.373320469147081,-0.0930289111927294,0.0473482587542308,0.0913111927505636
