variant,median_rmsep,median_delta_pct_vs_control,wins_vs_control,losses_vs_control,n_pairs,wilcoxon_p_vs_control,n_ref_datasets_ridge,n_ref_pairs_ridge,med_delta_vs_ridge_pct,n_ref_datasets_pls,n_ref_pairs_pls,med_delta_vs_pls_pct,n_ref_datasets_tabpfn_raw,n_ref_pairs_tabpfn_raw,med_delta_vs_tabpfn_raw_pct,n_ref_datasets_tabpfn_opt,n_ref_pairs_tabpfn_opt,med_delta_vs_tabpfn_opt_pct,n_ref_datasets_cnn,n_ref_pairs_cnn,med_delta_vs_cnn_pct,n_ref_datasets_catboost,n_ref_pairs_catboost,med_delta_vs_catboost_pct,n_ref_datasets_aom_ridge_curated_best,n_ref_pairs_aom_ridge_curated_best,med_delta_vs_aom_ridge_curated_best_pct
V2L-Residual-AOMPLS,2.7104196995989396,-8.708808570371405,8,2,10,0.064453125,10,10,2.849110670275568,10,10,2.2255072519167785,10,10,1.3814668656129663,10,10,20.367226728249086,9,9,-6.008436330693667,10,10,0.6429291930431741,7,7,-0.5766427038441564
Ridge-baseline,2.8959971638913737,0.0,-1,-1,10,,10,10,10.660070519500554,10,10,8.668987213308725,10,10,10.065089990502804,10,10,34.71945964240462,9,9,4.4672804070698025,10,10,3.107105294509415,7,7,7.621422799848308
V2L-Boost-AOMPLS,3.054940188725753,3.4030225292266083,3,7,10,0.76953125,10,10,13.037007155886576,10,10,9.438758644525649,10,10,11.334154074080526,10,10,32.73907201215133,9,9,-0.9410887823629807,10,10,7.596545807404429,7,7,20.644704784464714
V2L-Residual-AOMRidgePLS,2.7897555798775677,3.5676609640196073,4,6,10,0.921875,10,10,11.148272692277567,10,10,10.67642483147514,10,10,11.524102298045632,10,10,30.839328186361826,9,9,-1.6638515658768602,10,10,5.999591296964205,7,7,8.660674040804151
V2L-learnableRMS,3.1570072936955036,11.722214083760887,4,6,10,0.76953125,10,10,18.08048334183563,10,10,13.122653798950996,10,10,17.962315379349874,10,10,45.50689181382949,9,9,5.505248774299035,10,10,10.204022575546755,7,7,29.375017661778784
V2L-Huber,3.1916291626307194,14.024152031307596,4,6,10,0.625,10,10,19.828266882602296,10,10,15.105196302534798,10,10,19.996508635026437,10,10,47.470312364272615,9,9,6.296974298143307,10,10,11.898121557926036,7,7,30.262256982452428
V2L-Boost-AOMRidgePLS,3.1093811304451826,14.224006051376078,4,6,10,0.6953125,10,10,17.800022697128902,10,10,14.044988396520807,10,10,12.86692362519402,10,10,33.927890703288085,9,9,4.547536095280223,10,10,13.243863713437975,7,7,18.707097679300354
V2L-KAN,3.144117206709729,17.7581214597033,3,7,10,0.625,10,10,24.134444345507834,10,10,21.63160794085457,10,10,17.37685672655419,10,10,44.492840549451955,9,9,3.53696259379649,10,10,15.714537990962773,7,7,27.758624732675752
V2L-StudentT,3.155849140318457,17.909533037530878,3,7,10,0.6953125,10,10,32.22192649044298,10,10,29.174082189569734,10,10,25.47842439533707,10,10,46.56243782120695,9,9,8.285324742513502,10,10,18.27538591675825,7,7,37.119957689110535
V2L-Conformer,3.202368895296189,18.73033888171486,2,8,10,0.130859375,10,10,32.50931369849523,10,10,35.1142680783311,10,10,35.64747652519758,10,10,55.714826564365595,9,9,19.780301033688318,10,10,30.431742046659828,7,7,36.911367115400594
