our_variant,opponent,wins,n_valid,win_rate,median_ratio,median_pct
V2C-branchSE,paper Nicon,1,9,0.1111111111111111,1.199866556251644,19.986655625164396
V2C-branchSE,paper TabPFN-raw,3,10,0.3,1.317436057060516,31.743605706051593
V2C-branchSE,paper CatBoost,2,10,0.2,1.3268258536476187,32.68258536476188
V2C-branchSE,paper PLS,3,10,0.3,1.3616376426840286,36.163764268402865
V2C-branchSE,paper Ridge,3,10,0.3,1.3890096219966006,38.90096219966006
V2C-branchSE,AOM-Ridge-best,1,7,0.14285714285714285,1.4341804413711274,43.418044137112744
V2C-branchSE,AOM-PLS-best,0,10,0.0,1.5320978388058197,53.20978388058197
V2C-branchSE,paper TabPFN-opt,3,10,0.3,1.5411434714727288,54.11434714727288
V2C-branchSE-no-reg,paper Nicon,1,9,0.1111111111111111,1.1147372225042105,11.473722250421048
V2C-branchSE-no-reg,paper TabPFN-raw,3,10,0.3,1.1955365505845776,19.553655058457764
V2C-branchSE-no-reg,paper CatBoost,3,10,0.3,1.2109196533961422,21.091965339614216
V2C-branchSE-no-reg,paper PLS,3,10,0.3,1.228943462022929,22.894346202292894
V2C-branchSE-no-reg,paper Ridge,3,10,0.3,1.26026239736419,26.026239736419
V2C-branchSE-no-reg,AOM-Ridge-best,1,7,0.14285714285714285,1.27491955812774,27.491955812773995
V2C-branchSE-no-reg,AOM-PLS-best,0,10,0.0,1.429350802146681,42.9350802146681
V2C-branchSE-no-reg,paper TabPFN-opt,3,10,0.3,1.505234444404275,50.52344444042749
V2C-deeper,paper Nicon,1,9,0.1111111111111111,1.1464691882548912,14.64691882548912
V2C-deeper,paper CatBoost,4,10,0.4,1.2850102248885165,28.501022488851646
V2C-deeper,paper TabPFN-raw,2,10,0.2,1.376573659423514,37.657365942351404
V2C-deeper,paper PLS,3,10,0.3,1.409735288451306,40.97352884513059
V2C-deeper,paper Ridge,3,10,0.3,1.4487150985906903,44.87150985906902
V2C-deeper,AOM-Ridge-best,1,7,0.14285714285714285,1.4589509748647032,45.89509748647031
V2C-deeper,AOM-PLS-best,0,10,0.0,1.5716441061932858,57.16441061932858
V2C-deeper,paper TabPFN-opt,3,10,0.3,1.614995020676502,61.499502067650205
V2C-noreg,paper Nicon,1,9,0.1111111111111111,1.1147372225042105,11.473722250421048
V2C-noreg,paper TabPFN-raw,3,10,0.3,1.1955365505845776,19.553655058457764
V2C-noreg,paper CatBoost,3,10,0.3,1.2109196533961422,21.091965339614216
V2C-noreg,paper PLS,3,10,0.3,1.228943462022929,22.894346202292894
V2C-noreg,paper Ridge,3,10,0.3,1.26026239736419,26.026239736419
V2C-noreg,AOM-Ridge-best,1,7,0.14285714285714285,1.27491955812774,27.491955812773995
V2C-noreg,AOM-PLS-best,0,10,0.0,1.429350802146681,42.9350802146681
V2C-noreg,paper TabPFN-opt,3,10,0.3,1.505234444404275,50.52344444042749
V2C-wide,paper Nicon,2,9,0.2222222222222222,1.1539182965924526,15.39182965924526
