our_variant,opponent,wins,n_valid,win_rate,median_ratio,median_pct
V2C-noreg,paper Nicon,1,9,0.1111111111111111,1.1147372225042105,11.473722250421048
V2C-noreg,paper TabPFN-raw,3,10,0.3,1.1955365505845776,19.553655058457764
V2C-noreg,paper CatBoost,3,10,0.3,1.2109196533961422,21.091965339614216
V2C-noreg,paper PLS,3,10,0.3,1.228943462022929,22.894346202292894
V2C-noreg,paper Ridge,3,10,0.3,1.26026239736419,26.026239736419
V2C-noreg,AOM-Ridge-best,1,7,0.14285714285714285,1.27491955812774,27.491955812773995
V2C-noreg,AOM-PLS-best,0,10,0.0,1.429350802146681,42.9350802146681
V2C-noreg,paper TabPFN-opt,3,10,0.3,1.505234444404275,50.52344444042749
V2E-noreg,paper Nicon,1,9,0.1111111111111111,1.1044010523460839,10.440105234608389
V2E-noreg,paper PLS,3,10,0.3,1.152235129940009,15.22351299400091
V2E-noreg,paper CatBoost,3,10,0.3,1.1699441507210233,16.99441507210233
V2E-noreg,paper TabPFN-raw,3,10,0.3,1.1989054781166035,19.890547811660355
V2E-noreg,paper Ridge,3,10,0.3,1.2020504983988989,20.205049839889888
V2E-noreg,AOM-Ridge-best,1,7,0.14285714285714285,1.2707311340374716,27.07311340374716
V2E-noreg,AOM-PLS-best,0,10,0.0,1.4118504234467508,41.18504234467508
V2E-noreg,paper TabPFN-opt,3,10,0.3,1.470766924580476,47.076692458047596
V2H-lowrank-dilated,paper Nicon,2,8,0.25,1.0665464641161722,6.6546464116172155
V2H-lowrank-dilated,paper CatBoost,3,9,0.3333333333333333,1.0915114472415266,9.15114472415266
V2H-lowrank-dilated,paper PLS,3,9,0.3333333333333333,1.1650755359999916,16.50755359999916
V2H-lowrank-dilated,paper TabPFN-raw,3,9,0.3333333333333333,1.1984287986703022,19.842879867030216
V2H-lowrank-dilated,paper Ridge,3,9,0.3333333333333333,1.2253412992947257,22.53412992947257
V2H-lowrank-dilated,AOM-Ridge-best,1,6,0.16666666666666666,1.3299607440869075,32.996074408690745
V2H-lowrank-dilated,AOM-PLS-best,0,9,0.0,1.4330163194710095,43.30163194710095
V2H-lowrank-dilated,paper TabPFN-opt,3,9,0.3333333333333333,1.5425186295765483,54.25186295765483
V2H-lowrank-r16,paper Nicon,2,9,0.2222222222222222,1.07929040199793,7.929040199792992
V2H-lowrank-r16,paper CatBoost,4,10,0.4,1.1187243225607095,11.872432256070953
V2H-lowrank-r16,paper PLS,3,10,0.3,1.1501177679831591,15.011776798315912
V2H-lowrank-r16,paper TabPFN-raw,3,10,0.3,1.2055714748216357,20.557147482163572
V2H-lowrank-r16,paper Ridge,3,10,0.3,1.2119834113008294,21.198341130082945
V2H-lowrank-r16,AOM-Ridge-best,1,7,0.14285714285714285,1.2905229288771205,29.05229288771205
V2H-lowrank-r16,AOM-PLS-best,0,10,0.0,1.3824046505479475,38.24046505479475
V2H-lowrank-r16,paper TabPFN-opt,3,10,0.3,1.4578626703834079,45.78626703834079
V2H-lowrank-r32,paper Nicon,1,9,0.1111111111111111,1.0550644951140635,5.506449511406353
V2H-lowrank-r32,paper CatBoost,3,10,0.3,1.132127138608955,13.212713860895509
V2H-lowrank-r32,paper TabPFN-raw,3,10,0.3,1.1641727432535443,16.417274325354427
V2H-lowrank-r32,paper PLS,3,10,0.3,1.18131427778584,18.13142777858401
V2H-lowrank-r32,paper Ridge,3,10,0.3,1.2303143187170165,23.031431871701646
V2H-lowrank-r32,AOM-Ridge-best,1,7,0.14285714285714285,1.279243751664396,27.924375166439596
V2H-lowrank-r32,AOM-PLS-best,0,10,0.0,1.3559020164327866,35.59020164327866
V2H-lowrank-r32,paper TabPFN-opt,3,10,0.3,1.446588069231733,44.6588069231733
V2H-lowrank-r8,paper Nicon,3,9,0.3333333333333333,1.0523809994315374,5.23809994315374
V2H-lowrank-r8,paper TabPFN-raw,3,10,0.3,1.1771284135925129,17.712841359251286
V2H-lowrank-r8,paper CatBoost,3,10,0.3,1.1787603731319385,17.876037313193848
V2H-lowrank-r8,paper PLS,3,10,0.3,1.2465251915941462,24.65251915941462
V2H-lowrank-r8,paper Ridge,3,10,0.3,1.2664012919469465,26.64012919469465
V2H-lowrank-r8,AOM-Ridge-best,1,7,0.14285714285714285,1.3048580292475966,30.485802924759664
V2H-lowrank-r8,AOM-PLS-best,0,10,0.0,1.442351764871761,44.2351764871761
V2H-lowrank-r8,paper TabPFN-opt,3,10,0.3,1.4559932892983123,45.59932892983123
