our_variant,opponent,wins,n_valid,win_rate,median_ratio,median_pct
NiconV1c-concat-bjerrum,paper Nicon,2,11,0.18181818181818182,1.0985118628158563,9.851186281585633
NiconV1c-concat-bjerrum,paper CatBoost,2,11,0.18181818181818182,1.2900914206864769,29.009142068647687
NiconV1c-concat-bjerrum,paper PLS,1,10,0.1,1.3044649137861999,30.44649137861999
NiconV1c-concat-bjerrum,paper Ridge,1,10,0.1,1.335020191106166,33.50201911061661
NiconV1c-concat-bjerrum,paper TabPFN-raw,2,11,0.18181818181818182,1.3559501545643957,35.59501545643957
NiconV1c-concat-bjerrum,AOM-PLS-best,1,11,0.09090909090909091,1.384076826007505,38.40768260075049
NiconV1c-concat-bjerrum,paper TabPFN-opt,2,11,0.18181818181818182,1.4646945631422583,46.46945631422583
NiconV1c-concat-bjerrum,AOM-Ridge-best,0,7,0.0,1.7227941910629598,72.27941910629599
V2A-compact-frozen,paper Nicon,2,11,0.18181818181818182,1.1551979211615682,15.519792116156816
V2A-compact-frozen,paper PLS,1,10,0.1,1.2400433330049918,24.00433330049918
V2A-compact-frozen,paper CatBoost,2,11,0.18181818181818182,1.2580408926496116,25.80408926496116
V2A-compact-frozen,paper Ridge,1,10,0.1,1.2889104526066983,28.891045260669834
V2A-compact-frozen,paper TabPFN-raw,2,11,0.18181818181818182,1.3222634578322117,32.22634578322116
V2A-compact-frozen,AOM-PLS-best,0,11,0.0,1.3362932170906898,33.62932170906898
V2A-compact-frozen,paper TabPFN-opt,1,11,0.09090909090909091,1.414689669395656,41.46896693956561
V2A-compact-frozen,AOM-Ridge-best,0,7,0.0,1.4473940624329875,44.73940624329875
V2A-extended-frozen-bjerrum,paper Nicon,1,11,0.09090909090909091,1.1753229399939125,17.532293999391246
V2A-extended-frozen-bjerrum,paper PLS,0,10,0.0,1.245478064153882,24.54780641538821
V2A-extended-frozen-bjerrum,paper TabPFN-raw,1,11,0.09090909090909091,1.2744728053136447,27.44728053136447
V2A-extended-frozen-bjerrum,paper CatBoost,1,11,0.09090909090909091,1.287509564827187,28.750956482718703
V2A-extended-frozen-bjerrum,paper Ridge,1,10,0.1,1.3335060093452047,33.35060093452047
V2A-extended-frozen-bjerrum,AOM-PLS-best,1,11,0.09090909090909091,1.378594586405763,37.85945864057629
V2A-extended-frozen-bjerrum,paper TabPFN-opt,1,11,0.09090909090909091,1.397208094658679,39.72080946586789
V2A-extended-frozen-bjerrum,AOM-Ridge-best,0,7,0.0,1.4714258115220968,47.14258115220969
V2A-full-frozen-bjerrum,paper Nicon,1,11,0.09090909090909091,1.1514469394797733,15.144693947977327
V2A-full-frozen-bjerrum,paper TabPFN-raw,1,11,0.09090909090909091,1.2237578134436213,22.37578134436213
V2A-full-frozen-bjerrum,paper PLS,1,10,0.1,1.242177929810067,24.217792981006703
V2A-full-frozen-bjerrum,paper CatBoost,1,11,0.09090909090909091,1.2624496552083941,26.244965520839415
V2A-full-frozen-bjerrum,paper Ridge,1,10,0.1,1.3296785321222293,32.967853212222934
V2A-full-frozen-bjerrum,AOM-PLS-best,0,11,0.0,1.3827043636942957,38.270436369429575
V2A-full-frozen-bjerrum,paper TabPFN-opt,2,11,0.18181818181818182,1.401373361337807,40.1373361337807
V2A-full-frozen-bjerrum,AOM-Ridge-best,0,7,0.0,1.4426943062136675,44.269430621366745
V2B-extended-trainable,paper Nicon,5,11,0.45454545454545453,1.0557180952314094,5.571809523140936
V2B-extended-trainable,paper CatBoost,4,11,0.36363636363636365,1.1092294571878079,10.922945718780785
V2B-extended-trainable,paper TabPFN-raw,2,11,0.18181818181818182,1.1477537785572955,14.775377855729555
V2B-extended-trainable,paper PLS,1,10,0.1,1.1625533766382548,16.255337663825475
V2B-extended-trainable,paper TabPFN-opt,2,11,0.18181818181818182,1.1941336166645808,19.413361666458083
V2B-extended-trainable,paper Ridge,1,10,0.1,1.2169328582323673,21.693285823236728
V2B-extended-trainable,AOM-PLS-best,1,11,0.09090909090909091,1.2805489203677676,28.054892036776756
V2B-extended-trainable,AOM-Ridge-best,0,7,0.0,1.322751776686491,32.27517766864909
