dataset,pls_rmsep,n_models,best_model,best_rmsep,best_ratio
1700_brix_stratgroupedkfold,2.702,1,PLS-tuned-cv5,2.702,1.0
ALPINE_P_291_KS,0.0596920317134,24,TabPFN-HPO-preprocessing,0.0434172262266,0.727353802180157
All_manure_CaO_SPXY_strat_Manure_type,7.52854419199,23,TabPFN-HPO-preprocessing,5.2152,0.692723568727765
All_manure_K2O_SPXY_strat_Manure_type,2.36091887824,23,AOM-PLS-compact-numpy,2.15391254166,0.9123195894243018
All_manure_MgO_SPXY_strat_Manure_type,0.782680686885,24,TabPFN-HPO-preprocessing,0.7107,0.9080331377902312
All_manure_P2O5_SPXY_strat_Manure_type,2.30032931276,23,TabPFN-HPO-preprocessing,2.29510368622,0.9977283137196864
All_manure_Total_N_SPXY_strat_Manure_type,1.74334415664,24,TabPFN-HPO-preprocessing,1.4906,0.8550233723631933
An_spxyG70_30_byCultivar_ASD,3.4254923839,24,paper-CatBoost-reference,3.09728477506,0.9041867352026256
An_spxyG70_30_byCultivar_MicroNIR,3.67095642746,24,AOMRidge-Local-compact-knn50,3.46716528411,0.9444855455582166
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,3.46868133596,24,PLS-tuned-cv5,3.46868133596,1.0
An_spxyG70_30_byCultivar_NeoSpectra,4.7067937001,24,TabPFN-HPO-preprocessing,3.9913,0.8479870277542015
Beef_Marbling_RandomSplit,73.4970788427,22,TabPFN-HPO-preprocessing,61.6614758624,0.838964987906107
Beer_OriginalExtract_60_KS,0.378537658067,23,TabPFN-HPO-preprocessing,0.0834,0.22032154059884435
Beer_OriginalExtract_60_YbaseSplit,0.255933795946,23,AdaptiveSuperLearner-recipe-nnls,0.141094963793,0.5512947724292336
Biscuit_Fat_40_RandomSplit,0.411754607194,23,Ridge-tuned-cv5,0.186894195819,0.45389703613187254
Biscuit_Sucrose_40_RandomSplit,0.883600348145,23,Ridge-tuned-cv5,0.777723415701,0.880175542408653
