schema_version,preset,cohort,dataset,task,canonical_name,model_class,module,selection,seed,status,error_message,n_train,n_test,n_features,rmsep,mae,r2,balanced_accuracy,macro_f1,score_metric,score_value,lower_is_better,ref_pls_score,score_ratio_vs_pls,fit_time_s,predict_time_s,started_at,ended_at,host,config_template,notes
0.1.0,fast_reliable,full57,ALPINE_P_291_KS,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,247,44,2151,0.06443490344907671,0.04750181059819487,0.5933166764564104,,,rmsep,0.06443490344907671,True,,,3.394877783022821,0.0003817899851128459,2026-05-09T13:49:19.285320+00:00,2026-05-09T13:49:23.253842+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,Rice_Amylose_313_YbasedSplit,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,203,110,1154,2.057289049401163,1.592689228433016,0.8453653741711524,,,rmsep,2.057289049401163,True,,,2.0217221829807386,0.00024809304159134626,2026-05-09T13:49:23.255401+00:00,2026-05-09T13:49:25.322393+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,Beef_Marbling_RandomSplit,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,554,278,331,73.18812571086373,56.59577422993087,0.45693791766681613,,,rmsep,73.18812571086373,True,,,1.1769607260357589,0.00018924206960946321,2026-05-09T13:49:25.323041+00:00,2026-05-09T13:49:26.528517+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,Beer_OriginalExtract_60_KS,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,40,20,576,0.3288731834575111,0.26731341947198745,0.9577337576654347,,,rmsep,0.3288731834575111,True,,,1.2802800310309976,7.947895210236311e-05,2026-05-09T13:49:26.528635+00:00,2026-05-09T13:49:27.823453+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,Beer_OriginalExtract_60_YbaseSplit,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,40,20,576,0.29854228751598805,0.23327078648963112,0.9850369927634313,,,rmsep,0.29854228751598805,True,,,1.1697857329854742,7.959106005728245e-05,2026-05-09T13:49:27.823580+00:00,2026-05-09T13:49:29.008674+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,brix_groupSampleID_stratDateVar_balRows,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,1434,699,2101,3.874830715772866,3.0477323474206406,0.49735668272061995,,,rmsep,3.874830715772866,True,,,6.1514284369768575,0.01814613095484674,2026-05-09T13:49:29.008801+00:00,2026-05-09T13:49:35.564867+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,ph_groupSampleID_stratDateVar_balRows,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,912,489,2101,0.37070813411503994,0.2630953104521168,0.35344758511705254,,,rmsep,0.37070813411503994,True,,,4.923705595079809,0.008705210988409817,2026-05-09T13:49:35.567743+00:00,2026-05-09T13:49:40.783839+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,ta_groupSampleID_stratDateVar_balRows,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,912,489,2101,1.9296309740861892,1.530982011477401,0.3786504622465401,,,rmsep,1.9296309740861892,True,,,5.241576083935797,0.008421498001553118,2026-05-09T13:49:40.784649+00:00,2026-05-09T13:49:46.310918+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,Biscuit_Fat_40_RandomSplit,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,40,32,700,0.5433769613370407,0.46463400591469683,0.9245661024059751,,,rmsep,0.5433769613370407,True,,,1.2391153479693457,8.549902122467756e-05,2026-05-09T13:49:46.312123+00:00,2026-05-09T13:49:47.581536+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,Biscuit_Sucrose_40_RandomSplit,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,40,32,700,1.1517710361495501,0.9994120212245889,0.9124897573264238,,,rmsep,1.1517710361495501,True,,,1.180153184919618,9.562703780829906e-05,2026-05-09T13:49:47.581670+00:00,2026-05-09T13:49:48.779081+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,C_woOutlier,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,1210,1209,1154,2.1608075289851785,0.8983019477700224,0.40327891084484846,,,rmsep,2.1608075289851785,True,,,9.015204129973426,0.0058297819923609495,2026-05-09T13:49:48.779207+00:00,2026-05-09T13:49:57.961408+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,N_wOutlier,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,1220,1207,1154,0.3540996131578848,0.2507373086998771,0.9418460850919094,,,rmsep,0.3540996131578848,True,,,9.943902758997865,0.004269663942977786,2026-05-09T13:49:57.961562+00:00,2026-05-09T13:50:08.103951+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
0.1.0,fast_reliable,full57,N_woOutlier,regression,AOM-PLS-compact-numpy,AOMPLSRegressor,aompls.estimators,default,0,ok,,1205,1207,1154,0.27467892492611584,0.19805120089640008,0.9650071971545137,,,rmsep,0.27467892492611584,True,,,5.128347364021465,0.001784304971806705,2026-05-09T13:50:08.104122+00:00,2026-05-09T13:50:13.428158+00:00,U108-N257,bench/scenarios/configs/aom_pls_compact_numpy.yaml,dispatch: provisional production fit/predict (D-C-006).
