Circuit;Nb_Rep;Type_Rep;Resolution;Unite_X;Abs_ou_Ref;Labo_ou_Terrain;Date;Heure;Temperature;Hygrometrie;Year;Sample_ID;Team;Spectro;Rep
A;1;1;6.19435;nm;Abs;Terrain;04/11/24;57900;;;2022;BGE1;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_1
A;2;1;6.19435;nm;Abs;Terrain;04/11/24;57900;;;2022;BGE1;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_2
A;3;1;6.19435;nm;Abs;Terrain;04/11/24;57900;;;2022;BGE1;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_3
A;4;1;6.19435;nm;Abs;Terrain;04/11/24;57900;;;2022;BGE1;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_4
A;5;1;6.19435;nm;Abs;Terrain;04/11/24;57960;;;2022;BGE1;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_5
A;1;1;6.19435;nm;Abs;Terrain;04/11/24;59460;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_1
A;2;1;6.19435;nm;Abs;Terrain;04/11/24;59460;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_2
A;3;1;6.19435;nm;Abs;Terrain;04/11/24;59460;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_3
A;4;1;6.19435;nm;Abs;Terrain;04/11/24;59460;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_4
A;5;1;6.19435;nm;Abs;Terrain;04/11/24;59460;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_5
A;1;1;6.19435;nm;Abs;Terrain;04/11/24;64320;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_1
A;2;1;6.19435;nm;Abs;Terrain;04/11/24;64380;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_2
A;3;1;6.19435;nm;Abs;Terrain;04/11/24;64380;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_3
A;4;1;6.19435;nm;Abs;Terrain;04/11/24;64380;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_4
A;5;1;6.19435;nm;Abs;Terrain;04/11/24;64380;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_5
A;1;1;6.19435;nm;Abs;Terrain;04/11/24;63120;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_1
A;2;1;6.19435;nm;Abs;Terrain;04/11/24;63120;;;2022;BGE10;PEGASE_St-Gilles;VIAVI MicroNIRS;Mesure_2
