sample_id;group
sample_0031;group_1
sample_0023;group_3
sample_0004;group_4
sample_0037;group_2
sample_0020;group_0
sample_0048;group_3
sample_0058;group_3
sample_0035;group_0
sample_0046;group_1
sample_0021;group_1
sample_0017;group_2
sample_0055;group_0
sample_0057;group_2
sample_0041;group_1
sample_0052;group_2
sample_0040;group_0
sample_0011;group_1
sample_0012;group_2
sample_0033;group_3
sample_0006;group_1
sample_0002;group_2
sample_0019;group_4
sample_0043;group_3
sample_0034;group_4
sample_0007;group_2
sample_0044;group_4
sample_0018;group_3
sample_0053;group_3
sample_0029;group_4
sample_0005;group_0
sample_0022;group_2
sample_0049;group_4
sample_0036;group_1
sample_0054;group_4
sample_0024;group_4
sample_0030;group_0
sample_0015;group_0
sample_0013;group_3
sample_0059;group_4
sample_0003;group_3
sample_0010;group_0
sample_0008;group_3
sample_0038;group_3
sample_0027;group_2
sample_0056;group_1
sample_0045;group_0
sample_0042;group_2
sample_0050;group_0
